region,trust,date,type1_attendances,admissions
London Commissioning Region,"Barking, Havering And Redbridge University Hospitals NHS Trust",2015-06,18991,4827
London Commissioning Region,Barts Health NHS Trust,2015-06,27291,8485
London Commissioning Region,Beckenham Beacon Ucc,2015-06,0,0
London Commissioning Region,Central London Community Healthcare NHS Trust,2015-06,0,0
London Commissioning Region,Chelsea And Westminster Hospital NHS Foundation Trust,2015-06,9805,1614
London Commissioning Region,Croydon Health Services NHS Trust,2015-06,5780,2726
London Commissioning Region,Dmc Vicarage Lane,2015-06,0,0
London Commissioning Region,Edmonton GP Walk In Centre,2015-06,0,0
London Commissioning Region,Edridge Road Community Health Centre,2015-06,0,0
London Commissioning Region,Epsom And St Helier University Hospitals NHS Trust,2015-06,12155,3134
London Commissioning Region,Guy's And St Thomas' NHS Foundation Trust,2015-06,11868,3055
London Commissioning Region,Harold Wood Walk In Centre,2015-06,0,0
London Commissioning Region,Homerton University Hospital NHS Foundation Trust,2015-06,10534,1627
London Commissioning Region,Hounslow And Richmond Community Healthcare NHS Trust,2015-06,0,0
London Commissioning Region,Imperial College Healthcare NHS Trust,2015-06,9163,4721
London Commissioning Region,King's College Hospital NHS Foundation Trust,2015-06,17275,5314
London Commissioning Region,Kingston Hospital NHS Foundation Trust,2015-06,8274,2154
London Commissioning Region,Lewisham And Greenwich NHS Trust,2015-06,18324,4768
London Commissioning Region,London North West Healthcare NHS Trust,2015-06,10930,5184
London Commissioning Region,Moorfields Eye Hospital NHS Foundation Trust,2015-06,0,173
London Commissioning Region,North East London NHS Foundation Trust,2015-06,0,0
London Commissioning Region,North Middlesex University Hospital NHS Trust,2015-06,14979,3130
London Commissioning Region,Orient Practice,2015-06,0,0
London Commissioning Region,Parkway Miu,2015-06,0,182
London Commissioning Region,Purley Miu,2015-06,0,236
London Commissioning Region,Royal Brompton & Harefield NHS Foundation Trust,2015-06,0,521
London Commissioning Region,Royal Free London NHS Foundation Trust,2015-06,18106,3374
London Commissioning Region,Royal National Orthopaedic Hospital NHS Trust,2015-06,0,32
London Commissioning Region,St Andrews Walk-In Centre,2015-06,0,0
London Commissioning Region,St George's University Hospitals NHS Foundation Trust,2015-06,12708,3852
London Commissioning Region,The Barkantine Practice,2015-06,0,0
London Commissioning Region,The Hillingdon Hospitals NHS Foundation Trust,2015-06,4633,2090
London Commissioning Region,The Practice Loxford,2015-06,0,0
London Commissioning Region,The Ridgeway Surgery,2015-06,0,0
London Commissioning Region,The Whittington Hospital NHS Trust,2015-06,8018,1562
London Commissioning Region,University College London Hospitals NHS Foundation Trust,2015-06,11486,2170
London Commissioning Region,Urgent Care Centre,2015-06,0,0
London Commissioning Region,Waldron - Hurley Unregistered Practice,2015-06,0,0
London Commissioning Region,West Middlesex University Hospital NHS Trust,2015-06,4897,2120
Midlands and East Of England Commissioning Region,Bedford Hospital NHS Trust,2015-06,5865,1727
Midlands and East Of England Commissioning Region,Corby Urgent Care Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,East And North Hertfordshire NHS Trust,2015-06,8533,3776
Midlands and East Of England Commissioning Region,Hertfordshire Community NHS Trust,2015-06,0,0
Midlands and East Of England Commissioning Region,Kettering General Hospital NHS Foundation Trust,2015-06,6941,2531
Midlands and East Of England Commissioning Region,Latham House Medical Practice,2015-06,0,0
Midlands and East Of England Commissioning Region,Lincolnshire Community Health Services NHS Trust,2015-06,0,92
Midlands and East Of England Commissioning Region,Loughborough Urgent Care Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Luton And Dunstable University Hospital NHS Foundation Trust,2015-06,7761,3233
Midlands and East Of England Commissioning Region,Market Harborough Med.Ctr,2015-06,0,0
Midlands and East Of England Commissioning Region,Market Harborough Urgent Care Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Melton Mowbray Urgent Care Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Milton Keynes Hospital NHS Foundation Trust,2015-06,7072,2230
Midlands and East Of England Commissioning Region,Northampton General Hospital NHS Trust,2015-06,8660,3351
Midlands and East Of England Commissioning Region,Oadby & Wigston Urgent Care Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Oakham Medical Practice,2015-06,0,0
Midlands and East Of England Commissioning Region,Oakham Urgent Care Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Putnoe Medical Centre Walk In Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,United Lincolnshire Hospitals NHS Trust,2015-06,13395,4657
Midlands and East Of England Commissioning Region,University Hospitals Of Leicester NHS Trust,2015-06,11575,7362
Midlands and East Of England Commissioning Region,West Hertfordshire Hospitals NHS Trust,2015-06,7470,3432
Midlands and East Of England Commissioning Region,Basildon And Thurrock University Hospitals NHS Foundation Trust,2015-06,10852,2463
Midlands and East Of England Commissioning Region,Cambridge University Hospitals NHS Foundation Trust,2015-06,9126,3538
Midlands and East Of England Commissioning Region,Cambridgeshire And Peterborough NHS Foundation Trust,2015-06,0,0
Midlands and East Of England Commissioning Region,Clacton Hospital,2015-06,0,0
Midlands and East Of England Commissioning Region,Colchester Hospital University NHS Foundation Trust,2015-06,6862,3329
Midlands and East Of England Commissioning Region,East Coast Community Healthcare C.I.C,2015-06,0,0
Midlands and East Of England Commissioning Region,Fryatt Hospital,2015-06,0,0
Midlands and East Of England Commissioning Region,Greyfriars Health Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Hinchingbrooke Health Care NHS Trust,2015-06,3826,1055
Midlands and East Of England Commissioning Region,Ipswich Hospital NHS Trust,2015-06,7107,2641
Midlands and East Of England Commissioning Region,James Paget University Hospitals NHS Foundation Trust,2015-06,6067,1308
Midlands and East Of England Commissioning Region,Mid Essex Hospital Services NHS Trust,2015-06,7572,2555
Midlands and East Of England Commissioning Region,Norfolk And Norwich University Hospitals NHS Foundation Trust,2015-06,9139,4733
Midlands and East Of England Commissioning Region,North Colchester Healthcare Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Norwich Practices Ltd (Castle Mall),2015-06,0,0
Midlands and East Of England Commissioning Region,Peterborough And Stamford Hospitals NHS Foundation Trust,2015-06,7036,3054
Midlands and East Of England Commissioning Region,Southend University Hospital NHS Foundation Trust,2015-06,8619,2967
Midlands and East Of England Commissioning Region,Suffolk Community Healthcare - Ipswich,2015-06,0,0
Midlands and East Of England Commissioning Region,The Princess Alexandra Hospital NHS Trust,2015-06,7883,2302
Midlands and East Of England Commissioning Region,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",2015-06,5024,2513
Midlands and East Of England Commissioning Region,West Suffolk NHS Foundation Trust,2015-06,5392,1968
Midlands and East Of England Commissioning Region,Burton Hospitals NHS Foundation Trust,2015-06,5234,2028
Midlands and East Of England Commissioning Region,Chesterfield Royal Hospital NHS Foundation Trust,2015-06,6585,2705
Midlands and East Of England Commissioning Region,Derby Teaching Hospitals NHS Foundation Trust,2015-06,11212,4846
Midlands and East Of England Commissioning Region,Derbyshire Community Health Services NHS Foundation Trust,2015-06,0,0
Midlands and East Of England Commissioning Region,Derbyshire Health United Ltd,2015-06,0,0
Midlands and East Of England Commissioning Region,Malling Health - Telford Wic,2015-06,0,0
Midlands and East Of England Commissioning Region,NHS Nottingham City 8Am - 8Pm Health Centre,2015-06,0,0
Midlands and East Of England Commissioning Region,Nottingham Citycare Partnership,2015-06,0,0
Midlands and East Of England Commissioning Region,Nottingham University Hospitals NHS Trust,2015-06,14486,6138
Midlands and East Of England Commissioning Region,Sherwood Forest Hospitals NHS Foundation Trust,2015-06,8447,2767
Midlands and East Of England Commissioning Region,Shrewsbury And Telford Hospital NHS Trust,2015-06,10438,3998
Midlands and East Of England Commissioning Region,Shropshire Community Health NHS Trust,2015-06,0,26
Midlands and East Of England Commissioning Region,Staffordshire Doctors Urgent Care Ltd [Sduc],2015-06,0,0
Midlands and East Of England Commissioning Region,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,2015-06,0,14
Midlands and East Of England Commissioning Region,University Hospitals Of North Midlands NHS Trust,2015-06,10924,6453
